"Station","Date.UTC.","Amount.mm.","Period.Hrs.","Freq","UTC_date"
"Auckland, North Shore Albany Ews","20100506:0600",0,1,"H",2010-05-06 06:00:00
"Auckland, North Shore Albany Ews","20100507:0600",0,1,"H",2010-05-07 06:00:00
"Auckland, North Shore Albany Ews","20100508:0600",0,1,"H",2010-05-08 06:00:00
"Auckland, North Shore Albany Ews","20100509:0600",0,1,"H",2010-05-09 06:00:00
"Auckland, North Shore Albany Ews","20100510:0600",0,1,"H",2010-05-10 06:00:00
"Auckland, North Shore Albany Ews","20100511:0600",0,1,"H",2010-05-11 06:00:00
"Auckland, North Shore Albany Ews","20100512:0600",0.8,1,"H",2010-05-12 06:00:00
"Auckland, North Shore Albany Ews","20100513:0600",0,1,"H",2010-05-13 06:00:00
"Auckland, North Shore Albany Ews","20100514:0600",0,1,"H",2010-05-14 06:00:00
"Auckland, North Shore Albany Ews","20100515:0600",0,1,"H",2010-05-15 06:00:00
"Auckland, North Shore Albany Ews","20100516:0600",0,1,"H",2010-05-16 06:00:00
"Auckland, North Shore Albany Ews","20100517:0600",0,1,"H",2010-05-17 06:00:00
"Auckland, North Shore Albany Ews","20100518:0600",0,1,"H",2010-05-18 06:00:00
"Auckland, North Shore Albany Ews","20100519:0600",0,1,"H",2010-05-19 06:00:00
"Auckland, North Shore Albany Ews","20100520:0600",1,1,"H",2010-05-20 06:00:00
"Auckland, North Shore Albany Ews","20100521:0600",0,1,"H",2010-05-21 06:00:00
"Auckland, North Shore Albany Ews","20100522:0600",0,1,"H",2010-05-22 06:00:00
"Auckland, North Shore Albany Ews","20100523:0600",0,1,"H",2010-05-23 06:00:00
"Auckland, North Shore Albany Ews","20100524:0600",0,1,"H",2010-05-24 06:00:00
"Auckland, North Shore Albany Ews","20100525:0600",0,1,"H",2010-05-25 06:00:00
"Auckland, North Shore Albany Ews","20100526:0600",0,1,"H",2010-05-26 06:00:00
"Auckland, North Shore Albany Ews","20100527:0600",0,1,"H",2010-05-27 06:00:00
"Auckland, North Shore Albany Ews","20100528:0600",0,1,"H",2010-05-28 06:00:00
"Auckland, North Shore Albany Ews","20100529:0600",0.1,1,"H",2010-05-29 06:00:00
"Auckland, North Shore Albany Ews","20100530:0600",0,1,"H",2010-05-30 06:00:00
"Auckland, North Shore Albany Ews","20100531:0600",0,1,"H",2010-05-31 06:00:00
"Auckland, North Shore Albany Ews","20100601:0600",0.1,1,"H",2010-06-01 06:00:00
"Auckland, North Shore Albany Ews","20100602:0600",0,1,"H",2010-06-02 06:00:00
"Auckland, North Shore Albany Ews","20100603:0600",0,1,"H",2010-06-03 06:00:00
"Auckland, North Shore Albany Ews","20100604:0600",0,1,"H",2010-06-04 06:00:00
"Auckland, North Shore Albany Ews","20100605:0600",0,1,"H",2010-06-05 06:00:00
"Auckland, North Shore Albany Ews","20100606:0600",0.2,1,"H",2010-06-06 06:00:00
"Auckland, North Shore Albany Ews","20100607:0600",0.2,1,"H",2010-06-07 06:00:00
"Auckland, North Shore Albany Ews","20100608:0600",0,1,"H",2010-06-08 06:00:00
"Auckland, North Shore Albany Ews","20100609:0600",0,1,"H",2010-06-09 06:00:00
"Auckland, North Shore Albany Ews","20100610:0600",0,1,"H",2010-06-10 06:00:00
"Auckland, North Shore Albany Ews","20100611:0600",0.2,1,"H",2010-06-11 06:00:00
"Auckland, North Shore Albany Ews","20100612:0600",2.1,1,"H",2010-06-12 06:00:00
"Auckland, North Shore Albany Ews","20100613:0600",0.1,1,"H",2010-06-13 06:00:00
"Auckland, North Shore Albany Ews","20100614:0600",0.1,1,"H",2010-06-14 06:00:00
"Auckland, North Shore Albany Ews","20100615:0600",0,1,"H",2010-06-15 06:00:00
"Auckland, North Shore Albany Ews","20100616:0600",0,1,"H",2010-06-16 06:00:00
"Auckland, North Shore Albany Ews","20100617:0600",0,1,"H",2010-06-17 06:00:00
"Auckland, North Shore Albany Ews","20100618:0600",0,1,"H",2010-06-18 06:00:00
"Auckland, North Shore Albany Ews","20100619:0600",0.3,1,"H",2010-06-19 06:00:00
"Auckland, North Shore Albany Ews","20100620:0600",0,1,"H",2010-06-20 06:00:00
"Auckland, North Shore Albany Ews","20100621:0600",0,1,"H",2010-06-21 06:00:00
"Auckland, North Shore Albany Ews","20100622:0600",0,1,"H",2010-06-22 06:00:00
"Auckland, North Shore Albany Ews","20100623:0600",0,1,"H",2010-06-23 06:00:00
"Auckland, North Shore Albany Ews","20100624:0600",0,1,"H",2010-06-24 06:00:00
"Auckland, North Shore Albany Ews","20100625:0600",0.4,1,"H",2010-06-25 06:00:00
"Auckland, North Shore Albany Ews","20100626:0600",0,1,"H",2010-06-26 06:00:00
"Auckland, North Shore Albany Ews","20100627:0600",0,1,"H",2010-06-27 06:00:00
"Auckland, North Shore Albany Ews","20100628:0600",0.3,1,"H",2010-06-28 06:00:00
"Auckland, North Shore Albany Ews","20100629:0600",0,1,"H",2010-06-29 06:00:00
"Auckland, North Shore Albany Ews","20100630:0600",0,1,"H",2010-06-30 06:00:00
"Auckland, North Shore Albany Ews","20100701:0600",0,1,"H",2010-07-01 06:00:00
"Auckland, North Shore Albany Ews","20100702:0600",0,1,"H",2010-07-02 06:00:00
"Auckland, North Shore Albany Ews","20100703:0600",0,1,"H",2010-07-03 06:00:00
